Coverage,Method
0.9,SCP
0.9,SCP
0.89,SCP
0.9,SCP
0.95,SCP
0.94,SCP
0.91,SCP
0.93,SCP
0.93,SCP
0.94,SCP
0.86,SCP
0.89,SCP
0.93,SCP
0.88,SCP
0.97,SCP
0.85,SCP
0.91,SCP
0.93,SCP
0.87,SCP
0.89,SCP
0.91,SCP
0.9,SCP
0.89,SCP
0.87,SCP
0.86,SCP
0.93,SCP
0.94,SCP
0.9,SCP
0.84,SCP
0.94,SCP
0.87,SCP
0.9,SCP
0.92,SCP
0.91,SCP
0.92,SCP
0.88,SCP
0.89,SCP
0.92,SCP
0.93,SCP
0.86,SCP
0.91,SCP
0.88,SCP
0.88,SCP
0.88,SCP
0.93,SCP
0.86,SCP
0.94,SCP
0.96,SCP
0.94,SCP
0.9,SCP
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.39,RLCP
0.45,RLCP
0.37,RLCP
0.31,RLCP
0.42,RLCP
0.37,RLCP
0.56,RLCP
0.38,RLCP
0.25,RLCP
0.47,RLCP
0.42,RLCP
0.41,RLCP
0.41,RLCP
0.36,RLCP
0.38,RLCP
0.37,RLCP
0.34,RLCP
0.42,RLCP
0.37,RLCP
0.4,RLCP
0.47,RLCP
0.48,RLCP
0.34,RLCP
0.48,RLCP
0.34,RLCP
0.44,RLCP
0.39,RLCP
0.45,RLCP
0.4,RLCP
0.33,RLCP
0.37,RLCP
0.42,RLCP
0.37,RLCP
0.42,RLCP
0.41,RLCP
0.48,RLCP
0.46,RLCP
0.42,RLCP
0.45,RLCP
0.42,RLCP
0.43,RLCP
0.43,RLCP
0.46,RLCP
0.41,RLCP
0.38,RLCP
0.33,RLCP
0.34,RLCP
0.48,RLCP
0.43,RLCP
0.5,RLCP
0.92,PCP
0.96,PCP
0.9,PCP
0.91,PCP
0.97,PCP
0.97,PCP
1.0,PCP
0.94,PCP
0.92,PCP
0.96,PCP
0.91,PCP
0.94,PCP
0.94,PCP
0.94,PCP
0.96,PCP
0.9,PCP
0.96,PCP
0.93,PCP
0.93,PCP
0.93,PCP
0.98,PCP
0.94,PCP
0.96,PCP
0.94,PCP
0.95,PCP
0.97,PCP
0.96,PCP
0.93,PCP
0.9,PCP
0.94,PCP
0.92,PCP
0.94,PCP
0.9,PCP
0.97,PCP
0.95,PCP
0.89,PCP
0.96,PCP
0.97,PCP
0.92,PCP
0.92,PCP
0.95,PCP
0.99,PCP
0.91,PCP
0.92,PCP
0.98,PCP
0.97,PCP
0.96,PCP
0.92,PCP
0.98,PCP
0.93,PCP
0.91,QKM
0.86,QKM
0.94,QKM
0.92,QKM
0.85,QKM
0.87,QKM
0.9,QKM
0.88,QKM
0.85,QKM
0.85,QKM
0.91,QKM
0.84,QKM
0.89,QKM
0.92,QKM
0.94,QKM
0.89,QKM
0.88,QKM
0.9,QKM
0.87,QKM
0.91,QKM
0.94,QKM
0.83,QKM
0.92,QKM
0.91,QKM
0.91,QKM
0.91,QKM
0.96,QKM
0.9,QKM
0.93,QKM
0.93,QKM
0.94,QKM
0.9,QKM
0.84,QKM
0.92,QKM
0.83,QKM
0.94,QKM
0.98,QKM
0.85,QKM
0.83,QKM
0.95,QKM
0.96,QKM
0.89,QKM
0.94,QKM
0.9,QKM
0.89,QKM
0.89,QKM
0.92,QKM
0.86,QKM
0.95,QKM
0.91,QKM
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
0.86,Split CP
