Width,Method
0.21620805096963713,SCP
0.2146653374015482,SCP
0.21265248525670194,SCP
0.21643177865581673,SCP
0.2318397301364287,SCP
0.22772383599781296,SCP
0.21704369840074306,SCP
0.23275639577051918,SCP
0.22150419843079802,SCP
0.23578312240487923,SCP
0.2096171606254319,SCP
0.2221133113904257,SCP
0.21748125753761444,SCP
0.2277911312567701,SCP
0.22412091440363127,SCP
0.20841863600816013,SCP
0.2187056655658388,SCP
0.2216697964038938,SCP
0.20099174258361155,SCP
0.218331758309009,SCP
0.21164211470238192,SCP
0.21821370313972902,SCP
0.2096166122075033,SCP
0.20780578425642246,SCP
0.20939071466495357,SCP
0.2039974493632305,SCP
0.22394220582135177,SCP
0.21561902182014214,SCP
0.2074808611810477,SCP
0.23288044510174455,SCP
0.2120113922070807,SCP
0.22949816433295792,SCP
0.20932719307709818,SCP
0.22175721896641604,SCP
0.23625380090156742,SCP
0.21636388934193374,SCP
0.2105671681187498,SCP
0.21886490477149792,SCP
0.21980922742621087,SCP
0.21176334369933475,SCP
0.220300014760293,SCP
0.22265175585615127,SCP
0.213534284003872,SCP
0.20195196907589377,SCP
0.22390190846761013,SCP
0.20246320681947882,SCP
0.24539772619353145,SCP
0.22965587701953408,SCP
0.21875882879282585,SCP
0.20695160408384797,SCP
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.0,SCP+CC
0.14385509825905923,RLCP
0.13420602195447753,RLCP
0.12977274637069575,RLCP
0.09051832182835547,RLCP
0.11981186201231991,RLCP
0.10037989801095948,RLCP
0.17500744159545928,RLCP
0.12422704996640421,RLCP
0.10152513168218842,RLCP
0.17034110581600653,RLCP
0.12020864270407358,RLCP
0.17679532137439238,RLCP
0.1590864145415167,RLCP
0.13829942796967906,RLCP
0.1292074172195805,RLCP
0.13601636864220787,RLCP
0.1249662109485432,RLCP
0.13901101534678642,RLCP
0.1340958148361585,RLCP
0.14512585437151831,RLCP
0.19480715967555054,RLCP
0.13559106598143342,RLCP
0.12045956879454849,RLCP
0.14468777921890955,RLCP
0.11000510051951087,RLCP
0.1354221621627323,RLCP
0.12407477354655921,RLCP
0.1481533074559061,RLCP
0.14203414424620292,RLCP
0.12982528899221216,RLCP
0.1343308902659724,RLCP
0.133957755059311,RLCP
0.16162532162711643,RLCP
0.13335953933407096,RLCP
0.2084149943611612,RLCP
0.1638745217406231,RLCP
0.17217842173457007,RLCP
0.1436077658675286,RLCP
0.1555749364551354,RLCP
0.1937828320616952,RLCP
0.1573216699091954,RLCP
0.16791188218016123,RLCP
0.15413754167413418,RLCP
0.14041752915434128,RLCP
0.11190316525435601,RLCP
0.12977456527077286,RLCP
0.1084663858961033,RLCP
0.1694904223015876,RLCP
0.1303755106147919,RLCP
0.19395576620963187,RLCP
0.30038435837439215,PCP
0.2624197906169099,PCP
0.25154647274166897,PCP
0.22916650965121668,PCP
0.25707316338500424,PCP
0.2586132462366948,PCP
0.2767859248954381,PCP
0.2837199546817799,PCP
0.2803742518270366,PCP
0.27511056940118084,PCP
0.2587790886237975,PCP
0.3419277244961473,PCP
0.3134987118010649,PCP
0.30076150306858246,PCP
0.26020112740620305,PCP
0.2597203417786882,PCP
0.2894837363994136,PCP
0.27321793065517275,PCP
0.281408033888097,PCP
0.2845783319341883,PCP
